flight_no,airline,origin,destination,dep_hour,weather,delay_minutes
6E221,IndiGo,DEL,BLR,20,RAIN,10
US635,US Airways,SMF,PHX,6,SNOW,12
US646,US Airways,OAK,PHX,6,SUNNY,8
US1941,US Airways,PVD,CLT,6,CLEAR,-14
UA422,SpiceJet,RNO,DEN,6,SNOW,14
UA544,AirAsia,PIT,IAH,6,RAIN,24
UA1016,GoAir,DEN,IAH,6,SUNNY,-4
WN4122,Vistara,BOS,BWI,6,RAIN,-26
WN4822,IndiGo,LAS,BWI,6,CLOUDY,-25
WN2215,GoAir,ABQ,HOU,6,SUNNY,22
WN676,IndiGo,PHX,SLC,6,SUNNY,-6
WN2787,IndiGo,PIT,FLL,6,SUNNY,-26
WN4859,Vistara,PVD,BWI,6,SNOW,-13
WN597,AirAsia,SFO,ATL,6,CLEAR,-16
UA1158,SpiceJet,SFO,ORD,6,FOG,-4
UA1163,IndiGo,MCO,EWR,6,RAIN,-18
UA1188,Air India,PDX,IAH,6,SUNNY,11
UA1198,Vistara,BOS,ORD,6,RAIN,-11
UA1224,Akasa Air,SFO,LAX,6,CLEAR,-11
UA1296,AirAsia,SAT,LAX,6,STORM,-3
UA1431,IndiGo,BOS,LAX,6,SNOW,-5
UA1637,Vistara,SEA,EWR,6,CLOUDY,-14
UA1735,AirAsia,LAX,ORD,6,CLOUDY,-16
US410,US Airways,IAH,PHX,6,FOG,-4
US459,US Airways,MCO,PHX,6,RAIN,10
US610,US Airways,SFO,PHX,6,CLOUDY,3
AA72,American Airlines,DFW,MCO,6,SNOW,3
AA196,American Airlines,MIA,PHL,6,SNOW,14
AA304,American Airlines,SLC,DFW,6,CLEAR,12
AA175,American Airlines,DCA,DFW,6,SUNNY,NA
AA281,American Airlines,MIA,DFW,6,FOG,-1
AA233,American Airlines,BWI,MIA,6,SUNNY,31
AA1100,American Airlines,DFW,LGA,6,CLOUDY,-5
AA1103,American Airlines,LGA,DFW,6,CLOUDY,NA
AA1028,American Airlines,DEN,ORD,6,SNOW,-27
AA1039,American Airlines,MCI,DFW,6,CLOUDY,3
AA1055,American Airlines,MCO,DFW,6,STORM,NA
AA1180,American Airlines,SFO,DFW,6,CLOUDY,NA
AA1345,American Airlines,TUL,DFW,6,CLEAR,-11
AA1297,American Airlines,LGA,MIA,6,FOG,50
AA1411,American Airlines,LIT,DFW,6,CLEAR,-10
AA1084,American Airlines,MIA,LGA,6,FOG,-9
AA1088,American Airlines,LAS,DFW,6,CLOUDY,7
AA1534,American Airlines,PDX,DFW,6,CLOUDY,-3
AA1573,American Airlines,TPA,DFW,6,CLEAR,-20
AA1660,American Airlines,SMF,DFW,6,STORM,31
AA2204,American Airlines,MSY,MIA,6,STORM,-13
AA1515,American Airlines,LAX,ORD,6,FOG,-26
AA2307,American Airlines,OMA,DFW,6,CLOUDY,5
AA2363,American Airlines,OKC,DFW,6,SUNNY,30
AS81,Alaska Airlines,SEA,ANC,6,FOG,-13
AS162,Alaska Airlines,FAI,ANC,6,STORM,-9
AS200,Alaska Airlines,SEA,SJC,6,SNOW,-9
AS342,Alaska Airlines,SEA,OAK,6,STORM,-16
AS406,Alaska Airlines,PDX,SJC,6,FOG,-13
AS477,Alaska Airlines,LAX,SEA,6,RAIN,-9
AS631,Alaska Airlines,PHX,SEA,6,CLEAR,-12
AS683,Alaska Airlines,DEN,SEA,6,CLEAR,-34
AS699,Alaska Airlines,GEG,SEA,6,CLOUDY,3
B6130,Vistara,RSW,JFK,6,CLOUDY,-2
B6154,IndiGo,PBI,JFK,6,RAIN,9
B6353,Akasa Air,JFK,PBI,6,FOG,-22
B6226,Air India,TPA,JFK,6,CLOUDY,-5
B6272,SpiceJet,FLL,LGA,6,SNOW,2
B6447,Air India,OAK,LGB,6,CLOUDY,-10
B6371,Air India,LGA,FLL,6,RAIN,-6
B6583,IndiGo,JFK,MCO,6,RAIN,-19
B6605,SpiceJet,EWR,FLL,6,CLEAR,-21
B6525,IndiGo,JFK,TPA,6,SUNNY,-1
B6746,Vistara,PSE,JFK,6,FOG,-5
B6776,IndiGo,MSY,JFK,6,STORM,-18
B6794,SpiceJet,AUS,JFK,6,CLEAR,-10
B6838,Akasa Air,BQN,JFK,6,STORM,15
B6892,IndiGo,TPA,BOS,6,FOG,-12
I5110,Air Asia,MUM,BLR,18,FOG,30
SG202,SpiceJet,DEL,HYD,8,FOG,45
I5123,Air Asia,BLR,MUM,22,SNOW,5
6E410,IndiGo,MUM,DEL,13,RAIN,20
AI303,Air India,DEL,BLR,9,CLOUDY,0
SG104,SpiceJet,BLR,DEL,6,SUNNY,50
I5133,Air Asia,DEL,MUM,14,SNOW,0
6E345,IndiGo,DEL,HYD,7,SNOW,0
AI504,Air India,MUM,BLR,11,CLEAR,15
I5166,Air Asia,HYD,DEL,16,FOG,40
AS98,Alaska Airlines,ANC,SEA,0,RAIN,-22
AA2336,American Airlines,LAX,PBI,0,CLOUDY,-9
US840,US Airways,SFO,CLT,0,RAIN,5
AA258,American Airlines,LAX,MIA,0,RAIN,-9
AS135,Alaska Airlines,SEA,ANC,0,CLEAR,-21
DL806,Delta,SFO,MSP,0,SUNNY,8
NK612,Spirit Airlines,LAS,MSP,0,CLEAR,-17
US2013,US Airways,LAX,CLT,0,CLEAR,-10
AA1112,American Airlines,SFO,DFW,0,CLOUDY,-13
DL1173,Delta,LAS,ATL,0,RAIN,-15
DL2336,Delta,DEN,ATL,0,FOG,-30
AI101,Air India,DEL,MUM,15,STORM,35
AI102,Air India,DEL,MUM,17,STORM,0
DL2005,Delta,MLB,ATL,6,SNOW,-17
OO3460,Air India,PDX,ONT,6,STORM,-13
OO4758,GoAir,PLN,DTW,6,CLEAR,-1
6E333,IndiGo,BLR,DEL,6,RAIN,55
SG101,SpiceJet,HYD,DEL,10,SNOW,0
AA1674,American Airlines,LAS,MIA,0,STORM,-10
DL1434,Delta,LAX,MSP,0,FOG,-4
DL2324,Delta,SLC,ATL,0,CLEAR,-22
DL2440,Delta,SEA,MSP,0,SNOW,8
AS108,Alaska Airlines,ANC,SEA,0,RAIN,-14
DL1560,Delta,ANC,SEA,0,SUNNY,-24
UA1197,Alaska Airlines,SFO,IAH,0,SNOW,-7
AS98,Alaska Airlines,ANC,SEA,0,STORM,-22
AA2336,American Airlines,LAX,PBI,0,STORM,-9
US840,US Airways,SFO,CLT,0,RAIN,5
AA258,American Airlines,LAX,MIA,0,SNOW,-9
AS135,Alaska Airlines,SEA,ANC,0,RAIN,-21
DL806,Delta,SFO,MSP,0,FOG,8
NK612,Spirit Airlines,LAS,MSP,0,FOG,-17
US2013,US Airways,LAX,CLT,0,SNOW,-10
AA1112,American Airlines,SFO,DFW,0,RAIN,-13
DL1173,Delta,LAS,ATL,0,CLOUDY,-15
DL2336,Delta,DEN,ATL,0,SUNNY,-30
AA1674,American Airlines,LAS,MIA,0,SNOW,-10
DL1434,Delta,LAX,MSP,0,SNOW,-4
DL2324,Delta,SLC,ATL,0,CLEAR,-22
DL2440,Delta,SEA,MSP,0,FOG,8
AS108,Alaska Airlines,ANC,SEA,0,RAIN,-14
DL1560,Delta,ANC,SEA,0,CLOUDY,-24
UA1197,IndiGo,SFO,IAH,0,RAIN,-7
AS122,Alaska Airlines,ANC,PDX,0,RAIN,-18
DL1670,Delta,PDX,MSP,0,CLEAR,-12
NK520,Spirit Airlines,LAS,MCI,0,SUNNY,6
AA371,American Airlines,SEA,MIA,1,CLEAR,1
NK214,Spirit Airlines,LAS,DFW,1,CLEAR,-1
AA115,American Airlines,LAX,MIA,1,CLOUDY,-12
DL1450,Delta,LAS,MSP,1,RAIN,-23
UA1545,Vistara,LAX,IAH,1,FOG,-11
AS130,Alaska Airlines,FAI,SEA,1,STORM,-3
NK597,Spirit Airlines,MSP,FLL,1,FOG,25
US413,US Airways,LAS,CLT,1,CLEAR,-31
AA2392,American Airlines,DEN,MIA,1,SNOW,2
NK168,Spirit Airlines,PHX,ORD,1,RAIN,43
AA2211,American Airlines,PHX,MIA,1,SUNNY,-16
AS136,Alaska Airlines,ANC,SEA,1,SNOW,NA
DL95,Delta,SLC,ATL,1,CLEAR,10
NK298,Spirit Airlines,LAS,IAH,1,RAIN,-4
HA17,IndiGo,LAS,HNL,1,STORM,15
US617,US Airways,ANC,PHX,1,CLOUDY,-10
UA1528,IndiGo,SJU,EWR,1,SUNNY,-11
AS134,Alaska Airlines,ANC,SEA,1,STORM,-35
B6304,Air India,SJU,JFK,1,FOG,11
NK451,Spirit Airlines,PBG,FLL,1,CLOUDY,-33
NK972,Spirit Airlines,PHX,DFW,1,STORM,1
AA2459,American Airlines,PHX,DFW,2,CLEAR,NA
AS144,Alaska Airlines,ANC,PDX,2,CLEAR,-11
NK647,Spirit Airlines,IAG,FLL,2,FOG,-11
B61990,GoAir,SJU,EWR,2,STORM,4
US699,US Airways,PHX,CLT,2,RAIN,-36
AS114,Alaska Airlines,ANC,SEA,2,SUNNY,-12
B6668,Air India,PSE,MCO,2,CLOUDY,-9
UA1162,Air India,BQN,EWR,2,STORM,6
B61030,IndiGo,BQN,MCO,3,CLOUDY,20
B6262,Akasa Air,SJU,BOS,3,RAIN,-16
B62134,Akasa Air,SJU,MCO,4,SNOW,85
B6730,GoAir,BQN,MCO,4,CLEAR,-7
B6768,IndiGo,PSE,MCO,4,FOG,-1
B62276,Vistara,SJU,BDL,4,CLOUDY,89
US602,US Airways,ORD,PHX,5,CLOUDY,3
AS695,Alaska Airlines,GEG,SEA,5,SUNNY,0
HA102,AirAsia,HNL,ITO,5,STORM,-6
OO5467,GoAir,ONT,SFO,5,CLOUDY,9
HA108,Air India,HNL,KOA,5,FOG,5
AS730,Alaska Airlines,ANC,SEA,5,CLEAR,-14
HA206,Air India,HNL,OGG,5,CLEAR,-11
UA1500,Akasa Air,ORD,IAH,5,RAIN,11
AA1323,American Airlines,MCO,MIA,5,CLEAR,-11
NK103,Spirit Airlines,BOS,MYR,5,SNOW,-10
OO7404,SpiceJet,HIB,MSP,5,CLOUDY,0
OO7419,IndiGo,ABR,MSP,5,STORM,-4
OO5254,IndiGo,MAF,IAH,5,CLEAR,NA
US480,US Airways,SEA,PHX,5,STORM,-2
AA1057,American Airlines,DFW,MIA,5,FOG,102
AA2454,American Airlines,BOS,MIA,5,SUNNY,2
